harvest,inside_slash,inside_fence,plot,species,basal_area,ground_cov_pct,sub_cov_pct,canopy_cov_pct,tag,ht,year
red_pine,no,no,925,rm,NA,65,0,0,12114,5.25,2018
red_pine,no,no,934,co,NA,15,0,70,12089,4,2018
boot,no,no,916,rm,NA,30,0,20,12109,3,2018
boot,no,no,916,rm,NA,30,0,20,12112,3.25,2018
wedge,no,no,942,sb,NA,80,0,0,12117,4.5,2018
red_pine,no,no,927,rm,NA,70,0,0,14044,3.5,2018
boot,no,no,914,rm,NA,20,0,20,12097,3.25,2018
red_pine,no,no,927,rm,NA,70,0,0,14041,4,2018
boot,no,no,914,rm,NA,20,0,20,12098,3,2018
boot,no,no,916,rm,NA,30,0,20,12111,3.5,2018
boot,no,no,913,rm,NA,40,0,40,12119,3.75,2018
wedge,no,no,944,sb,NA,80,0,0,12136,11,2018
red_pine,no,no,926,ro,NA,40,0,15,14042,3,2018
red_pine,yes,no,922,rm,NA,30,0,0,14027,15.5,2019
boot,yes,no,909,rm,NA,40,0,5,12068,11.5,2019
boot,yes,no,910,rm,NA,30,0,30,12078,10.25,2019
boot,no,no,913,rm,NA,40,0,40,12115,4,2019
boot,no,no,913,rm,NA,40,0,40,12116,4,2019
wedge,yes,no,941,sb,NA,80,0,40,12078,20.25,2019
red_pine,yes,no,919,ro,NA,75,0,0,12134,20,2019
boot,yes,no,909,rm,NA,40,0,5,12071,12.5,2019
red_pine,no,no,934,co,NA,15,0,70,12098,10,2019
wedge,yes,no,939,sb,NA,70,0,80,12060,9,2019
red_pine,no,no,934,co,NA,15,0,70,12099,9,2019
wedge,yes,no,939,sb,NA,70,0,80,12058,8.5,2019
boot,yes,no,911,rm,NA,25,0,30,12089,7.25,2019
boot,yes,no,912,rm,NA,65,0,5,12093,6.5,2019
boot,yes,no,909,rm,NA,40,0,5,12073,5.75,2019
red_pine,no,no,935,co,NA,20,0,50,14114,5.5,2019
red_pine,no,no,926,rm,NA,40,0,15,14039,4.5,2019
boot,yes,no,911,rm,NA,25,0,30,12088,15.5,2019
wedge,no,no,944,sb,NA,80,0,0,12133,15.25,2019
wedge,no,no,944,sb,NA,80,0,0,12137,14.75,2019
wedge,no,no,942,sb,NA,80,0,0,12119,10,2019
wedge,no,no,942,sb,NA,80,0,0,12115,7.5,2019
wedge,no,no,944,sb,NA,80,0,0,12139,7.25,2019
wedge,no,no,942,sb,NA,80,0,0,12123,7,2019
boot,no,no,915,sb,NA,40,0,0,12103,5.5,2019
boot,no,no,915,sb,NA,40,0,0,12106,5,2019
boot,no,no,916,rm,NA,30,0,20,12110,5,2019
boot,no,no,915,sb,NA,40,0,0,12107,3.75,2019
boot,no,no,915,sb,NA,40,0,0,12104,3,2019
wedge,yes,no,941,sb,NA,80,0,40,12077,20,2019
boot,no,no,901,sb,20,80,0,40,12012,40.25,2019
boot,no,no,901,sb,20,80,0,40,12013,35.5,2019
boot,no,no,902,sb,30,20,0,40,12018,34,2019
boot,yes,no,903,sb,NA,50,0,5,12023,42.75,2019
red_pine,no,no,930,rm,NA,40,0,0,14055,35,2019
boot,yes,no,903,sb,NA,50,0,5,12028,35,2019
wedge,yes,no,941,sb,NA,80,0,40,12075,30.25,2019
boot,no,no,908,sb,NA,60,0,0,12062,30.25,2019
boot,yes,no,905,sb,NA,85,0,5,12044,35,2019
boot,no,no,902,sb,30,20,0,40,12014,28.75,2019
boot,yes,no,905,sb,NA,85,0,5,12038,39,2019
wedge,yes,no,940,sb,NA,NA,NA,NA,12062,37,2019
boot,yes,no,903,sb,NA,50,0,5,12025,37,2019
boot,no,no,901,sb,20,80,0,40,12011,21,2019
wedge,yes,no,940,sb,NA,NA,NA,NA,12065,33.5,2019
boot,no,no,901,sb,20,80,0,40,12007,27,2019
boot,yes,no,905,sb,NA,85,0,5,12041,34,2019
boot,yes,no,904,sb,NA,70,0,0,12034,30,2019
red_pine,no,no,931,rm,NA,85,0,0,14057,24.25,2019
boot,no,no,902,sb,30,20,0,40,12016,19,2019
boot,no,no,902,sb,30,20,0,40,12015,20.5,2019
boot,yes,no,905,sb,NA,85,0,5,12042,23,2019
boot,no,no,901,sb,20,80,0,40,12001,21.5,2019
boot,no,no,901,sb,20,80,0,40,12009,16.25,2019
wedge,no,no,943,sb,NA,80,0,0,12130,28.5,2019
red_pine,no,no,929,rm,NA,80,0,0,14046,25.25,2019
boot,no,no,908,sb,NA,60,0,0,12063,25,2019
boot,no,no,901,sb,20,80,0,40,12008,26.5,2019
boot,no,no,901,sb,20,80,0,40,12002,23,2019
